path,title,description,canonical,primary_schema
/,Partner Market Global | Curated Import Export & Franchise Opportunities,"Curated B2B showcase for import, export, distribution, licensing and franchise opportunities.",https://partner-market-global2.pages.dev/en/,Organization + WebSite + FAQ
/opportunities,Import Export Distribution & Franchise Opportunities,"Browse curated B2B opportunities for importers, distributors, franchisees, licensees and country partners.",https://partner-market-global2.pages.dev/en/opportunities/,CollectionPage + ItemList
/opportunities/premium-japanese-food-brand-european-import-distribution,Premium Japanese Food Brand Seeking European Import & Distribution Partners,"Authentic Japanese food brand seeking qualified import and distribution partners.",https://partner-market-global2.pages.dev/en/opportunities/premium-japanese-food-brand-european-import-distribution/,Offer + BreadcrumbList
/list-your-opportunity,List Your Opportunity,"Showcase your product, service, franchise, licensing or distribution opportunity to qualified international partners.",https://partner-market-global2.pages.dev/en/list-your-opportunity/,Service
/commercial-terms,Commercial Terms,"Commercial packages for listing opportunities on Partner Market Global.",https://partner-market-global2.pages.dev/en/commercial-terms/,OfferCatalog
/curation-process,Curation & Vetting Process,"How Partner Market Global reviews, structures and showcases business opportunities.",https://partner-market-global2.pages.dev/en/curation-process/,HowTo
/about,About Partner Market Global,"About the curated global business opportunity showcase.",https://partner-market-global2.pages.dev/en/about/,AboutPage
/contact,Contact Partner Market Global,"Contact Partner Market Global about listings, inquiries and partnerships.",https://partner-market-global2.pages.dev/en/contact/,ContactPage
/privacy-policy,Privacy Policy,"Privacy policy for Partner Market Global.",https://partner-market-global2.pages.dev/en/privacy-policy/,WebPage
/terms,Terms of Use,"Terms of use and disclaimer for Partner Market Global.",https://partner-market-global2.pages.dev/en/terms/,WebPage
